T lambda
21.995 16.43029072792843
33.90919191919192 16.302711567114066
45.82338383838384 16.175833524632054
57.737575757575755 16.049656843388103
69.65176767676768 15.924181766287953
81.5659595959596 15.799408536237333
93.48015151515152 15.675337396141975
105.39434343434344 15.551968588907599
117.30853535353535 15.429302357439944
129.22272727272727 15.307338944644737
141.1369191919192 15.186078593427705
153.0511111111111 15.065521546694583
164.96530303030303 14.945668047351106
176.87949494949495 14.826518338302993
188.79368686868688 14.708072662455978
200.7078787878788 14.590331262715791
212.62207070707072 14.473294381988167
224.5362626262626 14.356962263178822
236.45045454545453 14.241335149193503
248.36464646464646 14.12641328293793
260.2788383838384 14.012196907317833
272.1930303030303 13.898686265238942
284.1072222222222 13.785881599606993
296.02141414141414 13.673783153327712
307.93560606060606 13.562391169306826
319.849797979798 13.45170589045007
331.7639898989899 13.341727559663173
343.6781818181818 13.232456419851859
355.59237373737375 13.123892713921862
367.50656565656567 13.016036684778914
379.4207575757576 12.90888857532875
391.3349494949495 12.80244862847708
403.24914141414143 12.69671708712966
415.16333333333336 12.591694194192204
427.0775252525253 12.48738019257044
438.9917171717172 12.383775325170104
450.90590909090906 12.28087983489693
462.820101010101 12.178693964656638
474.7342929292929 12.077217957354968
486.6484848484848 11.97645205589764
498.56267676767675 11.876396503190392
510.47686868686867 11.777051542138945
522.3910606060606 11.67841741564904
534.3052525252525 11.580494366626404
546.2194444444444 11.483282637976757
558.1336363636364 11.386782472605844
570.0478282828283 11.290994113419384
581.9620202020202 11.195917803323109
593.8762121212121 11.10155378522275
605.790404040404 11.007902302024041
617.704595959596 10.914963596632706
629.6187878787879 10.822737911954476
641.5329797979798 10.731225490895083
653.4471717171717 10.640426576360257
665.3613636363636 10.550341411255726
677.2755555555556 10.46097023848722
689.1897474747475 10.37231330096047
701.1039393939394 10.284370841581207
713.0181313131313 10.197143103255161
724.9323232323233 10.110630328888057
736.8465151515152 10.024832761385628
748.7607070707071 9.939750643653609
760.674898989899 9.855384218597724
772.5890909090909 9.771733729123703
784.5032828282829 9.688799418137279
796.4174747474748 9.60658152854418
808.3316666666667 9.525080303250135
820.2458585858586 9.444295985160876
832.1600505050505 9.364228817182132
844.0742424242425 9.284879042219632
855.9884343434344 9.20624690317911
867.9026262626263 9.128332642966289
879.8168181818182 9.051136504486903
891.7310101010102 8.974658730646684
903.645202020202 8.89889956435136
915.5593939393939 8.823859248506661
927.4735858585858 8.749538026018316
939.3877777777777 8.675936139792057
951.3019696969696 8.60305383273361
963.2161616161616 8.530891347748705
975.1303535353535 8.459448927743079
987.0445454545454 8.388726815622455
998.9587373737373 8.318725254292566
1010.8729292929293 8.249444486659142
1022.7871212121212 8.18088475562791
1034.701313131313 8.113046304104603
1046.6155050505051 8.04592937499495
1058.529696969697 7.979534211204682
1070.443888888889 7.9138610556395275
1082.3580808080808 7.848910151205217
1094.2722727272728 7.78468174080748
1106.1864646464646 7.721176067352047
1118.1006565656567 7.658393373744648
1130.0148484848485 7.596333902891011
1141.9290404040405 7.534997897696869
1153.8432323232323 7.474385601067952
1165.7574242424243 7.414497255909985
1177.6716161616162 7.355333105128703
1189.5858080808082 7.296893391629834
1201.5 7.239178358319109
