x	T1	T2	T3
0.12399999797344208	32.514686584472656	32.6048496826436	25.89413833618164
1.0119999647140503	25.89413833618164	26.885932799929137	25.89413833618164
3.2829999923706055	25.89413833618164	25.89413833618164	25.89413833618164
3.388000011444092	32.514686584472656	25.89413833618164	25.89413833618164
3.493000030517578	25.89413833618164	32.514686584472656	25.89413833618164
3.5969998836517334	25.89413833618164	25.89413833618164	25.89413833618164
3.7019999027252197	25.89413833618164	25.89413833618164	25.89413833618164
3.821000099182129	25.89413833618164	32.4595194048357	25.89413833618164
3.9130001068115234	32.514686584472656	25.89413833618164	25.89413833618164
4.014999866485596	25.89413833618164	25.89413833618164	25.89413833618164
4.120999813079834	25.89413833618164	25.89413833618164	25.89413833618164
4.228000164031982	32.514686584472656	25.89413833618164	25.89413833618164
4.334000110626221	25.89413833618164	25.89413833618164	25.89413833618164
4.439000129699707	32.514686584472656	32.514686584472656	25.89413833618164
4.544000148773193	25.89413833618164	25.89413833618164	25.89413833618164
4.64900016784668	32.514686584472656	25.89413833618164	25.89413833618164
4.754000186920166	25.89413833618164	25.89413833618164	25.89413833618164
4.869999885559082	32.514686584472656	32.514686584472656	25.89413833618164
4.97599983215332	32.514686584472656	25.89413833618164	25.89413833618164
5.080999851226807	32.514686584472656	32.514686584472656	25.89413833618164
5.184999942779541	32.514686584472656	32.514686584472656	25.89413833618164
5.291999816894531	32.514686584472656	32.514686584472656	25.89413833618164
5.396999835968018	25.89413833618164	32.514686584472656	25.89413833618164
5.501999855041504	25.89413833618164	25.956591843080787	25.89413833618164
5.609000205993652	25.89413833618164	32.514686584472656	25.89413833618164
5.714000225067139	25.89413833618164	25.89413833618164	25.89413833618164
5.822999954223633	32.514686584472656	32.514686584472656	25.89413833618164
5.922999858856201	25.89413833618164	25.89413833618164	25.89413833618164
6.0279998779296875	32.514686584472656	25.89413833618164	25.89413833618164
6.133999824523926	32.514686584472656	25.89413833618164	25.89413833618164
6.239999771118164	32.514686584472656	25.89413833618164	32.514686584472656
6.3460001945495605	32.514686584472656	32.514686584472656	25.89413833618164
6.452000141143799	32.514686584472656	32.514686584472656	32.514686584472656
6.558000087738037	32.514686584472656	25.89413833618164	25.89413833618164
6.663000106811523	32.514686584472656	25.89413833618164	25.89413833618164
6.769000053405762	32.514686584472656	32.514686584472656	25.89413833618164
6.872000217437744	25.89413833618164	25.89413833618164	25.89413833618164
6.9770002365112305	25.89413833618164	32.45223307757351	25.89413833618164
7.084000110626221	32.514686584472656	25.956008207064087	25.89413833618164
7.189000129699707	32.514686584472656	25.89413833618164	25.89413833618164
7.294000148773193	25.89413833618164	25.89413833618164	25.89413833618164
7.400000095367432	32.514686584472656	32.514686584472656	25.89413833618164
7.502999782562256	32.514686584472656	32.514686584472656	25.89413833618164
